release_group,artist_credit
rg318,ac2241
rg319,ac1789
rg320,ac141
rg321,ac36
rg322,ac358
rg323,ac71
rg324,ac141
rg325,ac847
rg326,ac499
rg327,ac3478
rg328,ac313
rg329,ac3492
rg330,ac1489
rg331,ac2420
rg332,ac2913
rg333,ac607
rg334,ac2121
rg335,ac668
rg336,ac1556
rg337,ac2992
rg338,ac4255
rg339,ac3682
rg340,ac1588
rg341,ac2780
rg342,ac2780
rg343,ac2694
rg344,ac2539
rg345,ac83
rg346,ac2918
rg347,ac141
rg348,ac837
rg349,ac4543
rg350,ac4410
rg351,ac3496
rg352,ac3086
rg353,ac1440
rg354,ac3987
rg355,ac3842
rg356,ac3494
rg357,ac1573
rg358,ac141
rg359,ac1375
rg360,ac2994
rg361,ac141
rg362,ac4146
rg363,ac141
rg364,ac4334
rg365,ac773
rg366,ac3837
rg367,ac3051
rg368,ac4405
rg369,ac4312
rg370,ac1467
rg371,ac1012
rg372,ac1654
rg373,ac1324
rg374,ac734
rg375,ac1079
rg376,ac3732
rg377,ac4036
rg378,ac3133
rg379,ac4358
rg380,ac1884
rg381,ac141
rg382,ac141
rg383,ac4025
rg384,ac3517
rg385,ac141
rg386,ac3662
rg387,ac551
rg388,ac2322
rg389,ac2695
rg390,ac2271
rg391,ac618
rg392,ac850
rg393,ac1252
rg394,ac1460
rg395,ac1526
rg396,ac1081
rg397,ac18
rg398,ac1217
rg399,ac298
rg400,ac4229
rg401,ac377
rg402,ac3772
rg403,ac141
rg404,ac2444
rg405,ac1709
rg406,ac141
rg407,ac3646
rg408,ac909
rg409,ac4468
rg410,ac2107
rg411,ac4125
rg412,ac1092
rg413,ac1012
rg414,ac1012
rg415,ac2769
rg416,ac3541
rg417,ac729
rg418,ac4199
rg419,ac3556
rg420,ac729
rg421,ac3130
rg422,ac3240
rg423,ac1567
rg424,ac141
rg425,ac3112
rg426,ac1835
rg427,ac141
rg428,ac141
rg429,ac878
rg430,ac4507
rg431,ac1595
rg432,ac2041
rg433,ac141
rg434,ac141
rg435,ac141
rg436,ac4326
rg437,ac3225
rg438,ac3911
rg439,ac4081
rg440,ac3060
rg441,ac1961
rg442,ac50
rg443,ac2460
rg444,ac4488
