node_id,entity_type,degree,betweenness,is_articulation_point
nm0000305,name,4,3.1066927037102788e-06,True
tt0087915,movie,11,3.0738774214719533e-06,True
tt12536369,movie,9,3.057873246937689e-06,False
tt3281770,movie,8,2.973548730694124e-06,False
tt12531638,movie,10,2.958754955914551e-06,False
tt0043750,movie,13,2.958754955914551e-06,False
nm0265155,name,4,2.946908089224202e-06,False
tt3487334,movie,10,2.944489530234248e-06,True
tt9426804,movie,13,2.9439611811349783e-06,True
tt0259362,movie,13,2.942481803657021e-06,True
tt5138018,movie,11,2.9291674063554057e-06,True
tt12543660,movie,7,2.8847860820166874e-06,False
tt0955242,movie,11,2.8847860820166874e-06,True
tt0077946,movie,12,2.840404757677969e-06,True
tt12536018,movie,8,2.8271431952862807e-06,False
tt0181718,movie,11,2.825610982898396e-06,True
tt0197267,movie,11,2.8108172081188235e-06,True
tt0103893,movie,11,2.8108172081188235e-06,True
tt0082126,movie,11,2.78401367223191e-06,True
tt0271435,movie,7,2.7590389963903193e-06,False
tt0060746,movie,13,2.7516421090005326e-06,True
nm1384759,name,5,2.7516421090005326e-06,True
nm0028965,name,4,2.7368483342209595e-06,False
tt12539808,movie,8,2.722054559441387e-06,False
tt1456134,movie,13,2.7072607846618143e-06,True
tt4037876,movie,11,2.695425764838156e-06,True
tt7507362,movie,13,2.662879460323096e-06,True
tt12543361,movie,5,2.642168175631694e-06,False
tt12541355,movie,5,2.6402336050835958e-06,False
tt0061784,movie,11,2.6253502790575987e-06,True
tt8305258,movie,12,2.603704361204805e-06,True
tt2873162,movie,12,2.603704361204805e-06,True
tt1427093,movie,11,2.591502088513746e-06,True
tt12543569,movie,9,2.5815136990354462e-06,False
tt6166140,movie,12,2.5741168116456595e-06,True
tt1612615,movie,11,2.5741168116456595e-06,True
tt0108822,movie,11,2.5593230368660864e-06,True
nm0001159,name,4,2.5522431589358625e-06,True
tt8485166,movie,12,2.5445292620865143e-06,True
tt1351264,movie,11,2.544529262086514e-06,True
tt0056432,movie,11,2.5371323746967275e-06,True
tt0072885,movie,13,2.5149417125273686e-06,True
nm0045800,name,5,2.485354162968223e-06,True
nm0186109,name,4,2.485354162968223e-06,True
tt12532332,movie,7,2.4813194971192484e-06,False
tt0307940,movie,13,2.4557666134090777e-06,True
tt1157664,movie,13,2.4557666134090773e-06,True
tt12539078,movie,6,2.4212033798399855e-06,False
nm0479133,name,7,2.3965915142907864e-06,True
tt1067224,movie,11,2.3817977395112138e-06,True
tt0854119,movie,13,2.3817977395112138e-06,False
tt0329294,movie,13,2.3670039647316407e-06,True
nm0318935,name,5,2.352210189952068e-06,True
tt12532883,movie,6,2.346292680040239e-06,False
tt0030861,movie,11,2.332978282738623e-06,True
tt4984864,movie,10,2.3249475879809034e-06,True
